A,B,C,D,E,F,G,H,X,Y
67,399,156,624,11,91,350373,15611,0,67
66,395,508,2033,81,98,2450094,50881,0,66
86,519,451,1806,10,34,325902,45110,0,86
41,246,689,2755,67,88,2022564,68967,0,41
87,525,716,2866,57,43,1736229,71657,0,87
40,241,143,572,47,38,1422114,14347,0,40
50,300,363,1451,56,38,1695114,36356,0,50
66,396,364,1458,31,82,950046,36431,0,66
12,73,311,1245,88,6,2643618,31188,0,12
8,48,301,1204,53,5,1592415,30153,0,8
26,153,744,2977,84,76,2528028,74484,0,26
72,429,521,2084,7,37,231711,52107,0,72
67,400,611,2442,93,15,2810145,61193,0,67
72,434,755,3022,99,57,2991771,75599,0,72
35,210,962,3846,74,64,2230692,96274,0,35
19,116,672,2688,38,55,1145865,67238,0,19
78,465,226,902,52,4,1583412,22652,0,78
23,139,338,1351,99,78,2977134,33899,0,23
85,513,788,3154,35,51,1075653,78835,0,85
33,197,799,3196,25,66,760098,79925,0,33
76,453,872,3490,3,70,113010,87203,0,76
42,251,442,1767,9,72,282816,44209,0,42
4,24,6,22,43,6,1291218,643,0,4
58,345,47,187,68,76,2057628,4768,0,58
20,119,58,230,56,39,1686117,5856,0,20
82,491,47,188,25,16,774648,4725,0,82
9,53,722,2886,48,23,1442769,72248,0,9
62,374,987,3947,6,97,198891,98706,0,62
11,66,49,196,95,93,2853579,4995,0,11
82,495,796,3184,51,54,1554762,79651,0,82
84,504,329,1316,43,83,1315449,32943,0,84
52,309,338,1352,37,59,1125777,33837,0,52
67,403,855,3421,26,69,800307,85526,0,67
71,429,79,315,10,77,321531,7910,0,71
5,32,886,3546,18,71,541713,88618,0,5
15,89,279,1114,37,18,1114554,27937,0,15
92,550,241,965,46,57,1407771,24146,0,92
96,578,789,3158,21,37,658911,78921,0,96
15,92,675,2702,69,22,2074566,67569,0,15
22,130,902,3607,49,72,1476816,90249,0,22
38,225,581,2325,11,10,341430,58111,0,38
65,389,479,1918,88,32,2659596,47988,0,65
32,189,370,1481,24,40,729720,37024,0,32
28,170,201,805,28,95,848685,20128,0,28
60,357,781,3125,20,94,618282,78120,0,60
65,392,45,180,50,90,1519770,4550,0,65
98,588,127,509,64,37,1949511,12764,0,98
97,580,364,1456,70,13,2129139,36470,0,97
28,167,324,1295,54,92,1628676,32454,0,28
81,485,897,3588,19,78,594534,89719,0,81
77,459,331,1323,41,32,1253196,33141,0,77
11,69,373,1494,1,71,33513,37301,0,11
43,255,40,160,39,16,1182948,4039,0,43
87,521,590,2360,96,48,2906244,59096,0,87
56,333,11,44,72,65,2176995,1172,0,56
49,291,463,1850,4,42,134826,46304,0,49
64,381,905,3618,87,77,2629431,90587,0,64
50,303,650,2602,8,26,255078,65008,0,50
27,161,570,2278,34,19,1028157,57034,0,27
24,141,208,833,19,70,577410,20819,0,24
92,549,840,3359,63,13,1917639,84063,0,92
46,278,625,2500,90,42,2713926,62590,0,46
65,389,915,3661,34,19,1039557,91534,0,65
0,3,313,1254,86,45,2580135,31386,0,0
80,481,274,1096,58,73,1764219,27458,0,80
66,398,892,3569,60,38,1819914,89260,0,66
4,25,436,1743,59,94,1771482,43659,0,4
25,148,118,470,75,91,2257773,11875,0,25
98,589,679,2715,6,29,209487,67906,0,98
1,8,233,934,76,53,2280459,23376,0,1
95,573,711,2843,18,74,568722,71118,0,95
85,511,830,3318,6,67,205701,83006,0,85
87,524,158,631,95,1,2876103,15895,0,87
64,381,100,402,90,99,2719497,10090,0,64
95,572,130,519,24,3,748509,13024,0,95
76,458,549,2195,18,34,562902,54918,0,76
59,357,499,1997,35,89,1067967,49935,0,59
87,525,270,1080,42,63,1286289,27042,0,87
77,461,137,549,89,42,2693226,13789,0,77
70,421,24,98,64,25,1941075,2464,0,70
60,361,803,3212,75,13,2268039,80375,0,60
76,453,509,2038,52,20,1582860,50952,0,76
72,429,33,131,22,23,681669,3322,0,72
31,186,448,1792,2,80,69540,44802,0,31
7,40,782,3128,28,29,842187,78228,0,7
71,427,108,433,49,15,1491345,10849,0,71
0,0,480,1920,58,95,1740285,48058,0,0
93,559,849,3394,71,72,2158116,84971,0,93
26,156,741,2966,71,47,2137941,74171,0,26
85,511,643,2574,42,35,1285605,64342,0,85
39,235,739,2958,49,56,1481868,73949,0,39
97,582,741,2966,35,21,1079163,74135,0,97
2,9,830,3322,65,81,1950843,83065,0,2
38,230,873,3490,28,42,851526,87328,0,38
72,433,279,1118,48,16,1461648,27948,0,72
66,393,620,2479,64,29,1939887,62064,0,66
37,223,950,3800,15,66,461298,95015,0,37
3,16,785,3140,19,27,570981,78519,0,3
48,287,572,2286,3,99,104697,57203,0,48
57,343,975,3900,97,29,2927187,97597,0,57
7,42,358,1433,13,72,392316,35813,0,7
7,42,619,2478,4,87,122361,61904,0,7
44,263,966,3863,63,24,1903272,96663,0,44
91,548,357,1428,29,50,897450,35729,0,91
28,167,584,2337,44,40,1328520,58444,0,28
89,537,4,14,99,76,2996928,499,0,89
97,585,974,3896,5,55,179265,97405,0,97
97,584,148,594,60,34,1829202,14860,0,97
25,149,35,138,34,52,1027656,3534,0,25
74,446,823,3294,10,0,322200,82310,0,74
40,240,600,2399,89,89,2682267,60089,0,40
98,589,620,2482,65,35,1979505,62065,0,98
46,278,405,1619,19,80,584040,40519,0,46
94,567,133,532,56,23,1708269,13356,0,94
55,327,517,2069,91,99,2746797,51791,0,55
13,77,240,960,49,60,1474080,24049,0,13
88,527,896,3584,51,59,1556577,89651,0,88
0,-2,523,2093,69,3,2070009,52369,0,0
16,96,324,1294,12,63,364989,32412,0,16
81,486,822,3287,19,26,594378,82219,0,81
71,425,776,3103,35,8,1071324,77635,0,71
78,467,371,1484,48,71,1463613,37148,0,78
6,33,20,79,18,88,542064,2018,0,6
25,150,537,2150,50,93,1507779,53750,0,25
91,546,843,3373,39,10,1197330,84339,0,91
24,141,629,2515,75,54,2257362,62975,0,24
75,447,61,245,43,2,1312506,6143,0,75
49,295,484,1935,97,48,2924844,48497,0,49
56,333,601,2404,70,48,2116944,60170,0,56
16,98,447,1788,86,69,2585007,44786,0,16
22,133,679,2718,7,9,216627,67907,0,22
93,557,353,1413,20,14,627942,35320,0,93
12,75,86,346,85,13,2553639,8685,0,12
3,17,786,3142,90,72,2701116,78690,0,3
26,156,769,3074,24,17,727851,76924,0,26
90,541,970,3878,13,54,417162,97013,0,90
72,432,661,2645,34,26,1041678,66134,0,72
54,321,574,2294,15,13,466239,57415,0,54
25,149,838,3350,43,14,1297542,83843,0,25
0,-1,15,62,14,76,420228,1514,0,0
90,541,535,2138,3,56,117168,53503,0,90
76,459,256,1024,92,13,2782839,25692,0,76
96,577,421,1682,91,92,2759076,42191,0,96
70,422,633,2534,29,1,891003,63329,0,70
67,400,204,817,1,48,50244,20401,0,67
47,283,883,3533,73,14,2204142,88373,0,47
51,306,464,1858,86,34,2595402,46486,0,51
12,69,6,26,62,79,1863837,662,0,12
45,271,592,2368,68,48,2053644,59268,0,45
6,38,988,3950,29,5,871815,98829,0,6
39,234,520,2079,65,55,1961865,52065,0,39
48,289,581,2325,66,46,1994538,58166,0,48
24,144,937,3749,93,61,2797383,93793,0,24
72,435,26,105,4,67,141801,2604,0,72
81,488,726,2905,13,33,414399,72613,0,81
83,499,980,3922,63,3,1914909,98063,0,83
77,460,111,446,28,63,863289,11128,0,77
66,394,909,3635,44,38,1339914,90944,0,66
18,106,268,1072,18,48,545544,26818,0,18
90,539,16,64,77,82,2337246,1677,0,90
60,362,813,3252,28,24,858072,81328,0,60
84,505,574,2297,73,96,2215488,57473,0,84
87,523,124,494,44,78,1346334,12444,0,87
55,332,724,2897,16,62,496686,72416,0,55
76,455,775,3100,57,32,1732896,77557,0,76
49,293,39,157,75,22,2264766,3975,0,49
82,495,280,1122,86,41,2604723,28086,0,82
25,150,581,2322,0,98,7794,58100,0,25
95,570,212,849,12,23,388569,21212,0,95
61,364,507,2030,25,29,768387,50725,0,61
2,12,875,3502,85,29,2550687,87585,0,2
39,237,669,2674,68,8,2051724,66968,0,39
13,79,550,2200,7,56,214068,55007,0,13
50,301,513,2054,70,74,2115222,51370,0,50
4,26,408,1630,43,48,1291344,40843,0,4
16,98,966,3862,88,65,2644995,96688,0,16
99,592,222,886,90,69,2729907,22290,0,99
50,301,341,1362,8,31,255093,34108,0,50
30,179,698,2790,25,26,759078,69825,0,30
83,498,273,1090,39,39,1195017,27339,0,83
12,70,21,85,73,20,2193660,2173,0,12
58,345,656,2626,54,34,1637502,65654,0,58
43,256,411,1645,58,29,1752987,41158,0,43
46,275,446,1783,69,89,2084067,44669,0,46
2,15,176,702,62,73,1860819,17662,0,2
51,308,575,2298,31,29,945387,57531,0,51
16,94,312,1247,36,65,1084995,31236,0,16
55,330,494,1975,9,94,286782,49409,0,55
84,503,971,3883,85,24,2575272,97185,0,84
40,243,889,3556,93,42,2802126,88993,0,40
15,88,204,816,34,76,1024728,20434,0,15
73,441,376,1505,92,98,2782194,37692,0,73
49,297,121,483,53,33,1604799,12153,0,49
10,62,173,691,6,48,183144,17306,0,10
86,514,724,2896,69,52,2095956,72469,0,86
50,303,368,1470,40,58,1215174,36840,0,50
77,462,209,834,70,1,2123103,20970,0,77
20,119,74,296,45,14,1356042,7445,0,20
86,514,490,1959,77,96,2336088,49077,0,86
79,471,454,1817,69,43,2093829,45469,0,79
52,310,853,3414,0,3,15609,85300,0,52
36,219,811,3244,53,20,1600860,81153,0,36
25,147,149,598,35,8,1057524,14935,0,25
87,524,134,538,68,73,2066319,13468,0,87
49,292,503,2013,97,64,2924892,50397,0,49
69,414,770,3081,29,43,890829,77029,0,69
87,525,432,1729,21,97,656391,43221,0,87
65,387,643,2572,58,79,1759737,64358,0,65
79,471,813,3252,69,4,2093712,81369,0,79
97,580,940,3759,3,81,119343,94003,0,97
36,215,258,1034,74,36,2230908,25874,0,36
47,282,233,930,65,69,1964307,23365,0,47
94,566,670,2682,89,17,2698251,67089,0,94
61,364,300,1200,97,60,2928480,30097,0,61
52,310,406,1624,3,27,105681,40603,0,52
21,123,858,3434,63,94,1896582,85863,0,21
46,279,5,22,97,16,2923848,597,0,46
52,315,532,2128,31,74,945822,53231,0,52
21,128,755,3020,63,25,1896375,75563,0,21
15,93,936,3745,44,79,1324737,93644,0,15
53,321,237,950,17,97,526191,23717,0,53
68,405,209,837,28,74,860622,20928,0,68
92,552,542,2166,71,44,2157732,54271,0,92
44,264,148,593,74,9,2233227,14874,0,44
39,233,388,1552,15,19,461757,38815,0,39
36,213,102,406,42,70,1271010,10242,0,36
60,363,278,1110,68,40,2058120,27868,0,60
14,81,998,3991,3,50,94350,99803,0,14
63,381,117,467,78,73,2359119,11778,0,63
67,403,283,1131,34,85,1040355,28334,0,67
39,234,992,3967,64,26,1931778,99264,0,39
80,479,206,824,72,73,2184219,20672,0,80
71,429,456,1824,32,71,981513,45632,0,71
14,82,38,151,57,85,1714455,3857,0,14
61,363,243,970,46,19,1398357,24346,0,61
10,58,170,680,68,47,2043141,17068,0,10
65,392,996,3986,3,13,109539,99603,0,65
51,305,363,1453,52,73,1575519,36352,0,51
57,344,662,2650,55,22,1667166,66255,0,57
13,75,273,1091,82,20,2463960,27382,0,13
23,139,816,3262,50,12,1506936,81650,0,23
95,567,424,1698,89,48,2698644,42489,0,95
7,45,937,3747,56,88,1682364,93756,0,7
56,336,654,2615,76,36,2296908,65476,0,56
91,546,205,818,33,9,1017327,20533,0,91
48,291,395,1578,53,49,1604547,39553,0,48
88,529,281,1124,22,63,686589,28122,0,88
41,247,912,3646,37,83,1122549,91237,0,41
72,433,192,767,37,99,1131897,19237,0,72
1,7,255,1019,96,59,2880477,25596,0,1
52,311,711,2842,29,80,885840,71129,0,52
6,36,201,805,86,66,2581998,20186,0,6
8,49,294,1178,75,75,2252625,29475,0,8
85,510,900,3601,84,99,2545797,90084,0,85
50,298,786,3142,98,29,2955087,78698,0,50
33,197,269,1077,18,78,550134,26918,0,33
67,402,968,3871,21,27,650181,96821,0,67
18,109,455,1821,7,80,215640,45507,0,18
6,34,267,1066,46,14,1381842,26746,0,6
22,133,829,3318,69,17,2076651,82969,0,22
20,122,865,3462,34,23,1026069,86534,0,20
63,378,450,1801,82,22,2478966,45082,0,63
51,306,209,835,77,86,2325558,20977,0,51
71,424,340,1360,52,15,1581345,34052,0,71
1,9,685,2741,51,39,1530417,68551,0,1
90,537,284,1136,60,38,1827114,28460,0,90
20,120,422,1688,51,62,1536186,42251,0,20
54,325,274,1095,73,76,2206428,27473,0,54
14,87,268,1074,99,49,2974347,26899,0,14
87,520,555,2221,71,38,2156214,55571,0,87
12,74,170,679,28,88,843864,17028,0,12
48,288,351,1406,15,39,464517,35115,0,48
19,117,94,374,4,93,125979,9404,0,19
37,225,776,3106,55,88,1661364,77655,0,37
22,131,438,1753,18,34,546702,43818,0,22
6,35,969,3878,65,2,1951806,96965,0,6
63,379,929,3715,95,11,2868933,92995,0,63
31,189,108,432,44,16,1329348,10844,0,31
77,463,875,3499,79,65,2393295,87579,0,77
3,21,752,3008,12,92,361176,75212,0,3
60,361,761,3046,4,96,138288,76104,0,60
91,543,113,451,4,10,147330,11304,0,91
48,285,51,203,41,28,1244484,5141,0,48
71,428,921,3684,84,66,2541498,92184,0,71
64,385,703,2813,77,1,2329203,70377,0,64
1,8,228,911,70,67,2100501,22870,0,1
13,80,967,3866,22,46,664038,96722,0,13
82,491,794,3178,42,50,1284750,79442,0,82
9,54,772,3088,9,7,272721,77209,0,9
73,438,177,706,83,76,2512128,17783,0,73
39,237,922,3688,93,2,2801706,92293,0,39
2,11,582,2330,58,7,1740621,58258,0,2
83,495,694,2778,11,79,355137,69411,0,83
8,49,590,2362,95,8,2852424,59095,0,8
82,495,398,1592,35,77,1074831,39835,0,82
61,365,481,1925,68,82,2058546,48168,0,61
22,135,692,2770,80,49,2406747,69280,0,22
91,548,492,1966,23,58,717474,49223,0,91
24,147,398,1591,60,96,1807488,39860,0,24
46,273,213,850,23,34,703902,21323,0,46
46,275,199,794,79,47,2383941,19979,0,46
34,202,539,2156,17,7,520221,53917,0,34
81,489,555,2218,94,4,2844312,55594,0,81
10,59,261,1046,8,74,243222,26108,0,10
71,427,73,292,63,79,1911537,7363,0,71
53,315,134,537,54,65,1636095,13454,0,53
43,260,986,3945,11,50,343050,98611,0,43
33,199,417,1667,54,95,1630185,41754,0,33
39,236,786,3143,33,28,1001784,78633,0,39
0,2,998,3993,20,40,600120,99820,0,0
35,212,92,369,1,43,40629,9201,0,35
55,331,179,717,92,42,2776626,17992,0,55
5,30,528,2110,26,93,781779,52826,0,5
66,395,554,2215,96,33,2899899,55496,0,66
58,351,95,380,84,55,2537565,9584,0,58
81,485,465,1858,90,52,2724456,46590,0,81
51,309,198,791,96,3,2895309,19896,0,51
26,155,311,1246,35,28,1057884,31135,0,26
59,357,558,2232,14,97,437991,55814,0,59
77,460,899,3598,28,20,863160,89928,0,77
14,87,664,2654,28,46,844338,66428,0,14
41,249,524,2094,67,88,2022564,52467,0,41
51,305,388,1554,73,99,2205597,38873,0,51
97,583,711,2846,19,98,599394,71119,0,97
92,555,21,85,53,90,1617870,2153,0,92
93,556,648,2593,34,81,1048143,64834,0,93
90,540,414,1654,28,79,867237,41428,0,90
6,37,835,3338,26,1,781803,83526,0,6
36,217,189,758,5,87,161061,18905,0,36
52,315,616,2465,40,5,1215615,61640,0,52
49,297,633,2532,10,74,314922,63310,0,49
3,21,955,3822,57,93,1711179,95557,0,3
53,318,613,2451,7,28,225984,61307,0,53
86,518,203,814,45,69,1376007,20345,0,86
5,27,785,3138,98,52,2941656,78598,0,5
69,411,203,814,2,42,80826,20302,0,69
91,548,896,3584,43,43,1317429,89643,0,91
45,268,104,417,0,51,13653,10400,0,45
25,150,180,721,65,11,1957533,18065,0,25
61,368,438,1753,98,12,2958336,43898,0,61
37,219,664,2658,50,51,1511253,66450,0,37
8,45,858,3434,50,87,1502661,85850,0,8
18,111,437,1750,9,11,275433,43709,0,18
38,226,880,3521,54,0,1631400,88054,0,38
0,-3,565,2261,90,38,2700114,56590,0,0
46,278,570,2280,98,38,2953914,57098,0,46
6,35,917,3666,70,82,2102046,91770,0,6
58,350,168,673,62,31,1877493,16862,0,58
45,267,388,1551,40,34,1213602,38840,0,45
29,175,270,1078,66,80,1988940,27066,0,29
70,420,22,88,88,20,2661060,2288,0,70
93,555,113,450,79,97,2398191,11379,0,93
85,512,372,1486,81,97,2455791,37281,0,85
30,177,759,3038,65,62,1959186,75965,0,30
31,187,561,2245,52,95,1569585,56152,0,31
22,130,179,718,13,68,396804,17913,0,22
89,536,900,3599,54,55,1646865,90054,0,89
27,164,193,771,55,36,1658208,19355,0,27
80,482,410,1639,79,16,2394048,41079,0,80
63,379,268,1070,46,81,1399143,26846,0,63
26,159,144,574,17,4,517812,14417,0,26
26,155,686,2745,17,44,517932,68617,0,26
22,131,506,2026,64,80,1926840,50664,0,22
87,521,973,3894,51,62,1556286,97351,0,87
63,376,902,3610,98,2,2958906,90298,0,63
73,440,595,2382,10,38,322014,59510,0,73
8,47,661,2643,21,64,632592,66121,0,8
0,-2,34,138,34,45,1020135,3434,0,0
81,483,803,3211,89,24,2694372,80389,0,81
50,297,911,3646,94,26,2835078,91194,0,50
14,82,677,2710,58,86,1744458,67758,0,14
89,532,977,3906,6,13,206739,97706,0,89
9,54,555,2222,25,24,752772,55525,0,9
30,180,872,3489,54,16,1629048,87254,0,30
50,303,550,2199,58,35,1755105,55058,0,50
25,152,127,507,65,52,1957656,12765,0,25
47,281,504,2018,21,18,644154,50421,0,47
86,517,232,926,95,79,2876037,23295,0,86
90,543,266,1066,41,21,1257063,26641,0,90
74,442,638,2552,12,75,382425,63812,0,74
80,480,522,2090,23,61,714183,52223,0,80
25,153,848,3393,38,53,1147659,84838,0,25
45,270,728,2914,21,37,643611,72821,0,45
74,445,83,331,39,8,1192224,8339,0,74
33,199,344,1377,10,54,310062,34410,0,33
68,411,996,3984,96,44,2900532,99696,0,68
49,292,16,63,51,68,1544904,1651,0,49
36,214,679,2718,97,57,2920971,67997,0,36
14,82,29,116,0,62,4386,2900,0,14
3,19,22,88,43,61,1291083,2243,0,3
42,255,674,2696,29,88,882864,67429,0,42
62,370,996,3982,21,81,648843,99621,0,62
8,49,550,2198,21,88,632664,55021,0,8
15,90,279,1118,49,77,1474731,27949,0,15
15,88,143,572,40,90,1204770,14340,0,15
50,297,10,41,9,44,285132,1009,0,50
50,298,170,679,82,32,2475096,17082,0,50
4,25,691,2766,93,88,2791464,69193,0,4
8,47,47,190,34,18,1022454,4734,0,8
9,55,729,2917,84,67,2522901,72984,0,9
48,288,218,873,36,67,1094601,21836,0,48
95,569,19,74,96,74,2908722,1996,0,95
59,351,508,2030,47,71,1427913,50847,0,59
85,511,481,1923,18,57,565671,48118,0,85
59,356,859,3435,80,43,2417829,85980,0,59
40,237,152,608,3,43,102129,15203,0,40
4,26,63,251,99,53,2971359,6399,0,4
11,64,312,1250,86,63,2583489,31286,0,11
56,335,466,1866,74,57,2236971,46674,0,56
4,24,622,2487,40,11,1201233,62240,0,4
32,191,113,452,16,80,489840,11316,0,32
19,113,988,3950,62,58,1865874,98862,0,19
54,326,255,1021,75,76,2266428,25575,0,54
9,57,23,92,7,29,212787,2307,0,9
2,13,571,2284,7,10,210630,57107,0,2
80,481,578,2312,97,27,2934081,57897,0,80
42,253,52,210,90,12,2712636,5290,0,42
67,404,889,3554,92,92,2780376,88992,0,67
25,147,314,1254,64,99,1927797,31464,0,25
86,515,877,3506,92,78,2786034,87792,0,86
24,147,279,1118,97,84,2917452,27997,0,24
90,539,98,394,51,0,1557000,9851,0,90
59,355,789,3156,82,42,2477826,78982,0,59
47,283,585,2340,81,42,2444226,58581,0,47
39,232,189,757,97,32,2921796,18997,0,39
42,254,283,1132,43,85,1302855,28343,0,42
15,89,353,1414,5,44,154632,35305,0,15
86,516,778,3111,39,80,1196040,77839,0,86
51,305,393,1570,40,3,1215309,39340,0,51
36,216,930,3719,70,78,2111034,93070,0,36
17,103,174,696,25,32,755196,17425,0,17
67,401,849,3395,96,40,2900220,84996,0,67
98,585,661,2642,94,51,2849553,66194,0,98
99,596,508,2030,9,23,299769,50809,0,99
21,128,226,906,47,26,1416378,22647,0,21
21,125,366,1465,29,1,876303,36629,0,21
89,532,616,2466,84,61,2546883,61684,0,89
53,315,274,1095,87,4,2625912,27487,0,53
63,377,46,184,90,86,2719158,4690,0,63
29,173,948,3791,24,15,728745,94824,0,29
88,528,361,1444,63,47,1916541,36163,0,88
32,191,666,2663,94,1,2829603,66694,0,32
45,267,104,417,11,62,343686,10411,0,45
39,233,297,1188,9,82,281946,29709,0,39
66,398,650,2601,22,20,679860,65022,0,66
61,368,161,642,25,82,768546,16125,0,61
40,240,816,3263,73,15,2202045,81673,0,40
80,477,20,81,82,43,2484129,2082,0,80
76,459,992,3967,51,36,1552908,99251,0,76
63,380,639,2556,19,37,589011,63919,0,63
57,342,230,920,40,91,1217373,23040,0,57
65,392,708,2833,44,70,1339710,70844,0,65
71,427,625,2498,74,16,2241348,62574,0,71
86,515,76,306,62,53,1885959,7662,0,86
85,513,708,2833,84,72,2545716,70884,0,85
81,483,261,1042,2,88,84564,26102,0,81
16,99,334,1335,94,31,2824893,33494,0,16
9,54,129,514,89,20,2672760,12989,0,9
51,307,695,2779,82,73,2475519,69582,0,51
38,226,957,3826,83,70,2501610,95783,0,38
49,295,723,2890,22,13,674739,72322,0,49
67,403,377,1506,93,96,2810388,37793,0,67
44,263,339,1358,46,72,1393416,33946,0,44
23,136,609,2435,62,78,1867134,60962,0,23
92,550,141,565,43,92,1317876,14143,0,92
54,321,465,1859,17,42,526326,46517,0,54
17,101,831,3324,89,35,2675205,83189,0,17
47,280,321,1282,63,36,1904208,32163,0,47
69,415,43,173,27,45,830835,4327,0,69
12,74,205,822,78,31,2343693,20578,0,12
59,352,798,3191,64,29,1937787,79864,0,59
8,49,666,2662,49,40,1472520,66649,0,8
83,501,126,502,86,21,2604963,12686,0,83
25,152,837,3350,80,23,2407569,83780,0,25
71,428,175,698,1,33,51399,17501,0,71
50,300,613,2452,60,83,1815249,61360,0,50
15,90,413,1651,37,24,1114572,41337,0,15
57,343,327,1309,43,11,1307133,32743,0,57
60,362,559,2235,73,10,2208030,55973,0,60
91,545,115,458,69,62,2097486,11569,0,91
73,441,220,880,83,60,2512080,22083,0,73
60,360,990,3962,9,15,288045,99009,0,60
47,285,221,886,55,14,1664142,22155,0,47
34,202,844,3377,82,6,2470218,84482,0,34
82,493,221,885,59,70,1794810,22159,0,82
51,306,771,3083,83,12,2505336,77183,0,51
57,339,214,856,22,76,677328,21422,0,57
37,220,296,1182,55,22,1661166,29655,0,37
70,417,818,3273,58,81,1761243,81858,0,70
88,526,330,1318,93,11,2816433,33093,0,88
49,294,641,2564,44,74,1334922,64144,0,49
47,281,268,1073,58,17,1754151,26858,0,47
60,357,417,1668,22,56,678168,41722,0,60
59,355,328,1314,41,85,1247955,32841,0,59
79,472,669,2674,13,80,413940,66913,0,79
28,168,41,165,87,12,2618436,4187,0,28
59,351,456,1826,37,10,1127730,45637,0,59
33,196,827,3310,69,69,2080107,82769,0,33
38,225,770,3078,68,13,2051439,77068,0,38
69,412,769,3074,1,51,50853,76901,0,69
32,193,458,1833,43,88,1299864,45843,0,32
95,571,842,3366,42,12,1288536,84242,0,95
52,315,821,3285,85,60,2565780,82185,0,52
74,444,987,3946,76,18,2302254,98776,0,74
43,258,186,743,24,10,732930,18624,0,43
17,99,383,1533,8,92,245376,38308,0,17
34,204,639,2554,87,15,2620245,63987,0,34
98,585,793,3170,99,62,2999586,79399,0,98
32,189,655,2619,66,68,1989804,65566,0,32
41,246,745,2980,14,72,432516,74514,0,41
54,326,495,1981,63,90,1906470,49563,0,54
78,471,526,2103,73,40,2213520,52673,0,78
83,495,280,1120,12,22,384966,28012,0,83
33,201,302,1209,76,6,2289918,30276,0,33
6,38,958,3833,40,94,1202082,95840,0,6
86,514,693,2773,89,26,2695878,69389,0,86
87,524,626,2506,47,47,1436241,62647,0,87
61,363,160,638,88,93,2658579,16088,0,61
45,273,620,2478,69,39,2083617,62069,0,45
79,477,920,3680,24,68,743904,92024,0,79
54,325,727,2910,5,19,166257,72705,0,54
71,424,407,1630,70,56,2121468,40770,0,71
86,519,417,1669,41,3,1255809,41741,0,86
73,441,399,1595,91,90,2752170,39991,0,73
91,545,905,3621,33,72,1017516,90533,0,91
36,216,471,1884,12,47,370941,47112,0,36
87,521,661,2645,60,45,1826235,66160,0,87
17,103,369,1478,1,20,35160,36901,0,17
29,174,663,2654,67,30,2018790,66367,0,29
43,259,539,2156,73,54,2203062,53973,0,43
65,393,707,2827,98,38,2959614,70798,0,65
43,255,334,1338,8,69,253107,33408,0,43
61,366,662,2648,64,96,1938588,66264,0,61
35,211,313,1253,93,55,2800665,31393,0,35
0,-1,843,3372,36,97,1080291,84336,0,0
95,571,245,979,15,76,478728,24515,0,95
37,224,291,1166,17,82,521346,29117,0,37
65,393,399,1597,23,28,709584,39923,0,65
62,374,328,1314,93,97,2808891,32893,0,62
20,118,123,491,19,55,576165,12319,0,20
65,392,360,1439,48,89,1459767,36048,0,65
67,400,103,411,88,9,2660127,10388,0,67
23,135,385,1540,47,66,1417098,38547,0,23
62,369,734,2935,31,12,948636,73431,0,62
12,75,973,3890,95,66,2853798,97395,0,12
97,582,638,2554,21,94,659382,63821,0,97
77,462,866,3464,97,56,2933268,86697,0,77
77,462,168,672,5,33,173199,16805,0,77
36,215,272,1090,32,97,971091,27232,0,36
19,116,219,874,10,68,305904,21910,0,19
98,589,677,2710,62,52,1889556,67762,0,98
89,536,415,1660,42,28,1286784,41542,0,89
67,399,407,1630,1,48,50244,40701,0,67
91,549,726,2902,97,1,2937303,72697,0,91
56,339,925,3700,28,44,856932,92528,0,56
68,407,772,3086,40,88,1220664,77240,0,68
63,378,260,1039,70,23,2118969,26070,0,63
52,312,190,760,8,5,255615,19008,0,52
55,330,107,430,31,66,946698,10731,0,55
52,312,866,3466,42,31,1275693,86642,0,52
97,585,842,3370,83,75,2519325,84283,0,97
79,473,391,1562,49,87,1493961,39149,0,79
52,314,756,3025,49,44,1485732,75649,0,52
79,472,449,1796,72,11,2183733,44972,0,79
5,27,488,1950,46,35,1381605,48846,0,5
88,529,370,1482,74,64,2246592,37074,0,88
7,42,498,1994,16,5,482115,49816,0,7
32,191,203,812,68,26,2049678,20368,0,32
87,523,915,3658,12,46,386238,91512,0,87
24,145,759,3038,61,27,1837281,75961,0,24
65,391,753,3011,25,95,769785,75325,0,65
14,86,166,663,65,61,1954383,16665,0,14
91,549,688,2752,43,9,1317327,68843,0,91
15,90,480,1918,90,62,2704686,48090,0,15
50,300,588,2351,92,95,2775285,58892,0,50
63,378,338,1353,20,99,619197,33820,0,63
45,268,425,1702,23,99,703797,42523,0,45
92,554,984,3936,37,39,1137717,98437,0,92
60,362,49,195,87,84,2628252,4987,0,60
28,171,917,3669,76,32,2288496,91776,0,28
89,533,767,3067,74,31,2246793,76774,0,89
93,557,780,3118,99,1,2997903,78099,0,93
4,27,130,521,12,85,361455,13012,0,4
11,68,948,3790,4,19,123357,94804,0,11
19,115,761,3042,51,8,1535724,76151,0,19
23,140,431,1726,89,56,2677068,43189,0,23
33,195,285,1138,60,77,1810131,28560,0,33
40,241,317,1266,40,44,1212132,31740,0,40
93,555,731,2922,91,91,2758173,73191,0,93
26,156,564,2258,29,43,877929,56429,0,26
40,239,166,663,64,21,1932063,16664,0,40
46,273,459,1834,26,88,794064,45926,0,46
79,475,866,3462,68,9,2063727,86668,0,79
1,5,719,2877,7,98,210594,71907,0,1
87,524,11,44,69,32,2096196,1169,0,87
5,32,745,2979,68,61,2041683,74568,0,5
